,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND
105,Tongi 80 MW GTPP,105.0,2005.0,Tongi 80 MW GTPP,-0.2004,,,,-74765,False,False,True,False,True,False,False,False,False,False,False
106,Rangpur 20 MW /GT,20.0,1988.0,Rangpur 20 MW /GT,1.4037,0.009,150.66,113.92,"2,082/340",False,False,True,False,False,False,True,False,False,False,False
107,Hathazari 100 MW Peaking PP,98.0,2011.0,Hathazari 100 MW Peaking PP,-0.8567,0.001,,31.67,28044085,False,False,True,False,False,True,False,False,False,False,False
108,Shahazibazar 100 MW GT,100.0,2021.0,Shahazibazar 100 MW GT,39.4552,0.052,1.89,8.98,"59,677/356",False,False,True,False,True,False,False,False,False,False,False
109,Titas 50 MW Peaking PP,52.0,2011.0,Titas 50 MW Peaking PP,45.1598,0.104,17.0,18.5855546668254,"102,724,595",False,False,True,False,False,True,False,False,False,False,False
110,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,108.0,2017.0,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,0.0,0.0,,,,True,False,False,False,False,True,False,False,False,False,False
0,Kutubdia 900KW Wind PP,0.0,2008.0,Kutubdia 900KW Wind PP,0.6083,,6.18,422,599901,False,False,True,False,False,False,False,False,False,False,True
1,Powerpac Mutiara Jamalpur Power plant Ltd,95.0,,Powerpac Mutiara Jamalpur Power plant Ltd,289.7374,0.35,11.28,22.02,13945632,True,False,False,False,False,True,False,False,False,False,False
2,Khanjahan Ali Noapara  40 MW,,2011.0,Khanjahan Ali Noapara  40 MW,92.2828,0.29,14.77,"19,61",29896435,False,False,False,True,False,True,False,False,False,False,False
3,Shikalbaha 150 MW Peaking PP,,2010.0,Shikalbaha 150 MW Peaking PP,641.9223,0.505,3.28,8.63,91759968,False,False,True,False,True,False,False,False,False,False,False
5,Regent Energy & Power Ltd 108 MW,108.0,2014.0,Regent Energy & Power Ltd 108 MW,591.4501,0.63,2.92,4.08,360724103,True,False,False,False,True,False,False,False,False,False,False
7,Summit  Power Co. Ltd Madangonj (100 MW),102.0,2011.0,Summit  Power Co. Ltd Madangonj (100 MW),353.3363,0.4,9.72,19.21,109319891,False,False,False,True,False,True,False,False,False,False,False
8,KPCL( 115 MW) U-2,115.0,2011.0,KPCL( 115 MW) U-2,433.6464,0.43,11.53,19.91,107420657,False,False,False,True,False,True,False,False,False,False,False
9,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210.0,2012.0,Sirajgonj 210 MW CC (NWPGCL) Unit-1,216.5913,0.122,11.01,9.56,224720935,False,False,True,False,True,False,False,False,False,False,False
10,Summit   Barishal (110 MW),110.0,2016.0,Summit   Barishal (110 MW),218.6086,0.23,14.49,36.85,62791776,True,False,False,False,False,True,False,False,False,False,False
11,"Power Pac Mutiara,Keranigonj,100MW",100.0,2011.0,"Power Pac Mutiara,Keranigonj,100MW",217.866,0.25,8.23,27.37,91903200,False,False,False,True,False,True,False,False,False,False,False
12,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52.0,2014.0,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,158.5054,0.35,13.99,16.83,217114112,True,False,False,False,False,True,False,False,False,False,False
13,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52.0,2012.0,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,146.3081,0.32,12.35,15.58,234706041,True,False,False,False,False,True,False,False,False,False,False
14,Gazipur 52 MW PP,52.0,2012.0,Gazipur 52 MW PP,112.6812,0.255,15.93,18.11,209417122,False,False,True,False,False,True,False,False,False,False,False
15,Rural Power Company Ltd.(RPCL),210.0,2007.0,Rural Power Company Ltd.(RPCL),1150.0912,0.63,3.34,3.73,1106935572,True,False,False,False,True,False,False,False,False,False,False
16,"Aggreko, Brahmangaon 100MW",100.0,2019.0,"Aggreko, Brahmangaon 100MW",28.8673,0.03,76.01,35.24,120485001,True,False,False,False,False,False,True,False,False,False,False
17,"Aggreko, Aourahati 100MW",100.0,2020.0,"Aggreko, Aourahati 100MW",37.1663,0.04,64.13,33.58,131526563,True,False,False,False,False,False,True,False,False,False,False
18,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220.0,,Sirajgonj 210 MW CC (NWPGCL) Unit-3,1447.0055,0.781,3.38,3.89,1220422550,False,False,True,False,True,False,False,False,False,False,False
19,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55.0,2012.0,Dhaka(Doreen) Northern Power Ltd.Manikgonj,231.8441,0.48,11.39,16.48,297602757,True,False,False,False,False,True,False,False,False,False,False
20,Nutan Biddyut 220MW Bhola,220.0,2021.0,Nutan Biddyut 220MW Bhola,266.9117,0.14,1.76,3.01,1653494918,True,False,False,False,True,False,False,False,False,False,False
21,Summit Narayangonj Power unit-2 Madangonj (55 MW),55.0,2016.0,Summit Narayangonj Power unit-2 Madangonj (55 MW),259.5017,0.54,11.44,17.29,288604038,True,False,False,False,False,True,False,False,False,False,False
22,Jodiac Power,54.0,2019.0,Jodiac Power,276.7625,0.59,11.15,15.7,320369811,True,False,False,False,False,True,False,False,False,False,False
23,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55.0,,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,237.8964,0.49,11.28,16.2,311143774,True,False,False,False,False,True,False,False,False,False,False
26,Summit Meghnaghat Power Co.Ltd.,305.0,2015.0,Summit Meghnaghat Power Co.Ltd.,1559.0939,0.58,4.2,4.22,1524542505,True,False,False,False,True,False,False,False,False,False,False
29,Import from Tripura (2nd  Phase),60.0,,Import from Tripura (2nd  Phase),1023.5395,,3.13,7.95,941241612,False,False,False,False,False,False,False,False,True,False,False
32,Gazipur 100 MW PP,105.0,2019.0,Gazipur 100 MW PP,370.9008,0.41,12.25,16.68,535752588,False,False,True,False,False,True,False,False,False,False,False
33,Sembcorp NWPGCL,414.0,2016.0,Sembcorp NWPGCL,2945.2366,0.81,3.07,3.24,2817383745,True,False,False,False,True,False,False,False,False,False,False
34,Baraka Shikalbaha 105MW PS,105.0,2017.0,Baraka Shikalbaha 105MW PS,160.1848,0.17,17.38,16.07,610898228,True,False,False,False,False,True,False,False,False,False,False
35,Confidence Power  Ltd. 113MW Rangpur,113.0,2019.0,Confidence Power  Ltd. 113MW Rangpur,494.4,0.5,11.47,16.03,623970029,True,False,False,False,False,True,False,False,False,False,False
36,Bogura 113 MW PP (Confidence) Unit-1,113.0,2019.0,Bogura 113 MW PP (Confidence) Unit-1,468.1931,0.47,11.68,16.46,613355712,True,False,False,False,False,True,False,False,False,False,False
37,Karnaphuli Power Ltd.,110.0,2019.0,Karnaphuli Power Ltd.,87.2665,0.09,25.6,15.47,693947514,True,False,False,False,False,True,False,False,False,False,False
