,plant,start,fuel_type,own,capacity,end,plant_shorts,plant_phonetic,search_name
77,Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit),2019-01-20 00:00:00,GAS/HSD,NWPGCL,79.0,,sirajgonj rd,S625,Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit) GAS/HSD NWPGCL
78,Gazipur 100 MW PP,"25 May,2019",HFO,RPCL,105.0,,gazipur,G216,Gazipur 100 MW PP HFO RPCL
79,Jamalpur 115 MW Power Plant,"19 February, 2019",HFO,IPP,115.0,,jamalpur,J541,Jamalpur 115 MW Power Plant HFO IPP
80,Sirajganj 400±10 MW CCPP,"ST: 09 April, 2018",IPP,GAS/HSD,132.0,,sirajganj,S625,Sirajganj 400±10 MW CCPP IPP GAS/HSD
81,Shikalbaha 105 MW PP,"24 May, 2019",HFO,IPP,105.0,,,,Shikalbaha 105 MW PP HFO IPP
82,Jamalpur 115 MW Power Plant,"19 February, 2019",HFO,IPP,115.0,,jamalpur,J541,Jamalpur 115 MW Power Plant HFO IPP
83,Sirajganj 400±10 MW CCPP,"ST: 09 April, 2018",IPP,GAS/HSD,132.0,,sirajganj,S625,Sirajganj 400±10 MW CCPP IPP GAS/HSD
84,Shikalbaha 105 MW PP,"24 May, 2019",HFO,IPP,105.0,,,,Shikalbaha 105 MW PP HFO IPP
85,"Anowara, Chattogram 300 MW PP","22 June, 2019",HFO,IPP,300.0,,anowara chattogram,A562,"Anowara, Chattogram 300 MW PP HFO IPP"
86,Rangpur 113 MW Power Plant,"12 August, 2019",HFO,IPP,113.0,,rangpur,R521,Rangpur 113 MW Power Plant HFO IPP
87,"Shikalbaha, Chattogram 54 MW PP","31 August, 2019",HFO,IPP,54.0,,chattogram,C326,"Shikalbaha, Chattogram 54 MW PP HFO IPP"
88,Bogura 113 MW Power Plant (Unit-1),"17 November, 2019",HFO,IPP,113.0,,bogura,B260,Bogura 113 MW Power Plant (Unit-1) HFO IPP
89,Feni 114 MW Power Plant,"24 November, 2019",HFO,IPP,114.0,,feni,F500,Feni 114 MW Power Plant HFO IPP
90,"Choumohoni, Noakhali 113 MW Power Plant","31 December, 2019",HFO,IPP,113.0,,choumohoni noakhali,C555,"Choumohoni, Noakhali 113 MW Power Plant HFO IPP"
91,Sylhet 150 MW PP Conversion,"14 March, 2020",GAS,BPDB,87.0,,sylhet conversion,S432,Sylhet 150 MW PP Conversion GAS BPDB
92,Manikgonj 162 MW PP,"01 December, 2020",HFO,IPP,162.0,,manikgonj,M525,Manikgonj 162 MW PP HFO IPP
93,Shirajgonj 6.55 MW Solar PP,"30 March, 2021",SOLAR,NWPGCL,6.0,,shirajgonj,S625,Shirajgonj 6.55 MW Solar PP SOLAR NWPGCL
94,Bhola 220 MW CCPP,"09 June, 2021",GAS/HSD,IPP,220.0,,bhola,B400,Bhola 220 MW CCPP GAS/HSD IPP
95,Ashugonj 400 MW CCPP (East),"December, 2021",GAS,APSCL,400.0,,ashugonj east,A225,Ashugonj 400 MW CCPP (East) GAS APSCL
96,"Kanchan, Narayangonj 55 MW PP","December, 2021",HFO,IPP,55.0,,kanchan narayangonj,K525,"Kanchan, Narayangonj 55 MW PP HFO IPP"
97,Hatia 15 MW Power Plant,"December, 2021",HFO,IPP,5.0,,hatia,H300,Hatia 15 MW Power Plant HFO IPP
98,"Mirsorai, Chittagong 150 MW PP","February, 2022",HFO/GAS,BR Power Gen,160.0,,mirsorai chittagong,M626,"Mirsorai, Chittagong 150 MW PP HFO/GAS BR Power Gen"
99,Ghorasal 3rd Unit Repowering ST,"March, 2022",GAS,BPDB,156.0,,ghorasal rd repowering,G624,Ghorasal 3rd Unit Repowering ST GAS BPDB
100,Ghorasal 4th Unit Repowering,"June, 2022",GAS,BPDB,409.0,,ghorasal th repowering,G624,Ghorasal 4th Unit Repowering GAS BPDB
101,Khulna 330 MW CCPP (D/F),"June, 2022",GAS/HSD,BPDB,336.0,,khulna df,K453,Khulna 330 MW CCPP (D/F) GAS/HSD BPDB
102,Sreepur 150 MW  Power Plant,"December, 2022",HFO,B-R Power gen,163.0,,sreepur,S616,Sreepur 150 MW  Power Plant HFO B-R Power gen
103,"BIFPCL, Rampal, Coal Fired Power Plant","U#1: March, 2022
U#2: June, 2022",IMPORTED COAL,BIFPCL,1234.0,,bifpcl rampal coal fired,B124,"BIFPCL, Rampal, Coal Fired Power Plant IMPORTED COAL BIFPCL"
104,Chandpur 115 MW Power Plant,"January, 2022",HFO,IPP,115.0,,chandpur,C531,Chandpur 115 MW Power Plant HFO IPP
105,Thakurgao 100 MW Power Plant,"March, 2022",HFO,IPP,115.0,,thakurgao,T262,Thakurgao 100 MW Power Plant HFO IPP
106,Chattogram 2 x 612 MW Coal Fired Power Project,"1st Unit: July, 22 2nd Unit: August, 22",IMPORTED COAL,IPP,1224.0,,chattogram x coal fired project,C326,Chattogram 2 x 612 MW Coal Fired Power Project IMPORTED COAL IPP
107,"Adani Power, Jharkhand, India","1st Unit: July, 22 2nd Unit: December, 22",IMPORT,Import,1496.0,,adani jharkhand india,A352,"Adani Power, Jharkhand, India IMPORT Import"
108,Borisal 307 MW Coal Fired Power Plant,"October, 2022",IMPORTED COAL,IPP,307.0,,borisal coal fired,B624,Borisal 307 MW Coal Fired Power Plant IMPORTED COAL IPP
109,Meghnaghat 584 MW CCPP (Unique),"November, 2022",LNG,IPP,584.0,,meghnaghat unique,M252,Meghnaghat 584 MW CCPP (Unique) LNG IPP
110,"Bhola 80 MW Q. Rental PP (3 Years, Aggreco)",2011-05-31 00:00:00,GAS,Private,95.0,2022-03-17,bhola q aggreco,B422,"Bhola 80 MW Q. Rental PP (3 Years, Aggreco) GAS Private"
111,"Julda, 100 MW Q.RPP
(5 Years, Acron Infra Service)",2012-03-26 00:00:00,HFO,Private,100.0,2022-03-25,julda qrpp acron infra service,J432,"Julda, 100 MW Q.RPP
(5 Years, Acron Infra Service) HFO Private"
112,"Keranigonj 100 MW Q.Rental PP
(Power Pack)",2012-03-27 00:00:00,HFO,Private,100.0,2022-03-26,keranigonj qrental pack,K652,"Keranigonj 100 MW Q.Rental PP
(Power Pack) HFO Private"
113,Katakhali 50 MW Q. Rental PP( NPSL),2012-05-22 00:00:00,HFO,Private,50.0,2022-05-21,katakhali q npsl,K324,Katakhali 50 MW Q. Rental PP( NPSL) HFO Private
114,Bogura 3 Years RPP (Energy Prima),2011-11-13 00:00:00,GAS,Private,20.0,2022-11-12,bogura rpp energy prima,B266,Bogura 3 Years RPP (Energy Prima) GAS Private
115,Summit_Chandina_2nd Phase(REB),2006-11-15 00:00:00,GAS,Private,14.0,2022-11-14,summitchandinand phasereb,S532,Summit_Chandina_2nd Phase(REB) GAS Private
116,Summit_Ashulia_2nd Phase(REB),2007-12-04 00:00:00,GAS,Private,34.0,2022-12-03,summitashuliand phasereb,S532,Summit_Ashulia_2nd Phase(REB) GAS Private
117,Summit_Madubdi_2nd Phase(REB),2006-12-16 00:00:00,GAS,Private,24.0,2022-12-15,summitmadubdind phasereb,S535,Summit_Madubdi_2nd Phase(REB) GAS Private
118,Bramongao 100 MW PP (Aggreko),2018-05-30 00:00:00,HSD,Private,100.0,2023-05-29,bramongao aggreko,B655,Bramongao 100 MW PP (Aggreko) HSD Private
119,Aorahati 100 MW PP (Aggreko),2018-06-29 00:00:00,HSD,Private,100.0,2023-06-28,aorahati aggreko,A632,Aorahati 100 MW PP (Aggreko) HSD Private
120,Shazibar 2x35 MW PP,2000-10-25 00:00:00,GAS,Public,70.0,2023-10-25,shazibar x,S216,Shazibar 2x35 MW PP GAS Public
121,Raozan 210 MW Unit-1,1993-03-28 00:00:00,GAS,Public,210.0,2024-06-30,raozan,R250,Raozan 210 MW Unit-1 GAS Public
122,Pangao 300 MW PP (APR),2018-08-10 00:00:00,HSD,Private,300.0,2023-08-09,pangao apr,P521,Pangao 300 MW PP (APR) HSD Private
123,Summit_Chandina_1st Phase(REB),2003-09-01 00:00:00,GAS,Private,11.0,2023-08-31,summitchandinast phasereb,S532,Summit_Chandina_1st Phase(REB) GAS Private
124,Summit_Madubdi_1st Phase(REB),2003-09-01 00:00:00,GAS,Private,11.0,2023-08-31,summitmadubdist phasereb,S535,Summit_Madubdi_1st Phase(REB) GAS Private
125,Summit_Ashulia_1st Phase(REB),2003-09-01 00:00:00,GAS,Private,11.0,2023-08-31,summitashuliast phasereb,S532,Summit_Ashulia_1st Phase(REB) GAS Private
126,Narsindi SIPP (REB),2008-12-21 00:00:00,GAS,Private,22.0,2023-12-20,narsindi reb,N625,Narsindi SIPP (REB) GAS Private
127,Hobiganj  SIPP ( REB),2009-01-10 00:00:00,GAS,Private,11.0,2024-01-09,hobiganj reb,H125,Hobiganj  SIPP ( REB) GAS Private
128,Baghabari 200 MW PP (Paramount),2019-02-16 00:00:00,HSD,Private,200.0,2024-02-15,baghabari paramount,B216,Baghabari 200 MW PP (Paramount) HSD Private
129,Ullapara SIPP ( REB),2009-03-02 00:00:00,GAS,Private,11.0,2024-03-01,ullapara reb,U416,Ullapara SIPP ( REB) GAS Private
130,Feni SIPP (REB),2009-04-25 00:00:00,GAS,Private,11.0,2024-04-24,feni reb,F561,Feni SIPP (REB) GAS Private
131,"Mouna, Gazipur SIPP (REB)",2009-05-12 00:00:00,GAS,Private,33.0,2024-05-11,mouna gazipur reb,M522,"Mouna, Gazipur SIPP (REB) GAS Private"
132,"Rupganj , Narayanganj SIPP ( REB)",2009-06-09 00:00:00,GAS,Private,33.0,2024-06-08,rupganj narayanganj reb,R125,"Rupganj , Narayanganj SIPP ( REB) GAS Private"
