Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
5,Bogura RPP (24MW) 15 yrs,22,2008.0,False,False,False,True,True,False,False,False,False,False,171.72247970440307,87.0,4.09,2022
6,Bhola 32 MW (Venture Energy Resources Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,193.0881919678012,66.0,3.55,2022
7,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,237.92981029838987,81.0,4.06,2022
8,Amnura 50MW Sinha Power,50,2012.0,False,False,False,True,False,True,False,False,False,False,18.205880478505367,5.0,13.15,2022
9,Katakhali (Northern) Peaking,50,2012.0,False,False,False,True,False,True,False,False,False,False,66.63482827554114,15.8,16.48,2022
10,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),51,2009.0,False,False,False,True,True,False,False,False,False,False,352.407824154128,78.0,,2022
11,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55,2010.0,False,False,False,True,True,False,False,False,False,False,276.4408472176013,57.0,4.55,2022
12,Sahzibazar 86 MW RPP (15 yrs),86,2009.0,False,False,False,True,True,False,False,False,False,False,623.0401794905043,82.0,3.54,2022
13,Shiddirganj  Dutchbangla 100 MW,100,2011.0,False,False,False,True,False,True,False,False,False,False,164.51265087477898,19.0,20.19,2022
14,Julda Acorn Infra.service Ltd.100MW,100,2018.0,False,False,False,True,False,True,False,False,False,False,217.79504442053727,25.0,18.44,2022
15,"Power Pac Mutiara,Keranigonj,100MW",100,2011.0,False,False,False,True,False,True,False,False,False,False,84.58906055614153,10.0,27.37,2022
16,Summit  Power Co. Ltd Madangonj (100 MW),102,2011.0,False,False,False,True,False,True,False,False,False,False,113.51630061646247,13.0,19.21,2022
17,KPCL( 115 MW) U-2,115,2011.0,False,False,False,True,False,True,False,False,False,False,107.9770418815074,11.0,19.91,2022
18,Fenchugonj 50 MW Rental (Energy Prima),44,2009.0,False,False,False,True,True,False,False,False,False,False,47.22104528065098,13.0,3.03,2022
19,Shahjahanullah Power Gen Co. Ltd.,25,2013.0,False,False,False,True,True,False,False,False,False,False,121.51745212250869,55.0,3.45,2022
20,Khanjahan Ali Noapara  40 MW,40,2011.0,False,False,False,True,False,True,False,False,False,False,28.229301046519307,9.0,"19,61",2022
21,Ghorashal 78 MW QRPP (3 Yrs Max Power),78,2011.0,False,False,False,True,True,False,False,False,False,False,0.0,0.0,-,2022
22,Kutubdia 900KW Wind PP,0,2008.0,False,False,True,False,False,False,False,False,False,True,,,422,2022
