,plant_name,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,location,district_code,2022_units
50,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,73,163,2017,1065.5715,0.75,2.99,3.07,True,False,False,False,True,False,False,False,False,False,"Fenchuganj, Sylhet",sylhet,1048.42008043832
51,"Shahjibazar 70 MW GT, Habiganj",72.3,70,2000,361.4274,0.628,3.64,3.04,False,False,True,False,True,False,False,False,False,False,"Shahjibazar, Habiganj",habiganj,447.12914852186
3,Fenchugonj 50 MW Rental (Energy Prima),13,44,2009,219.7947,0.86,3.27,3.03,False,False,False,True,True,False,False,False,False,False,"Fenchuganj, Sylhet",sylhet,47.221045280651
20,Nutan Biddyut 220MW Bhola,85,220,2021,266.9117,0.14,1.76,3.01,True,False,False,False,True,False,False,False,False,False,"Kutba Union, Burhanuddin Upazila, Bhola",bhola,1647.45134648989
13,Tangail SIPP (22 MW) (Doreen Power Ltd.),81,22,2008,141.1988,0.73,2.86,2.96,False,False,False,True,True,False,False,False,False,False,"Elenga, Tangail",tangail,159.588865332597
62,Ashuganj 450 MW CCPP (North),66.8,360,2017,2088.9237,0.694,2.82,2.95,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,2116.07263546709
14,Feni SIPP (22 MW) (Doreen Power Ltd.),84,22,2009,160.0048,0.83,2.87,2.9,False,False,False,True,True,False,False,False,False,False,Feni,feni,165.6556725185
32,Midland Power Co. Ashuganj 51 MW,83,51,2013,294.124,0.66,3.16,2.75,True,False,False,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,375.268257028546
53,Karnafuli Hydro,37,230,1962,654.9908,0.326,3,2.7,False,False,True,False,False,False,False,True,False,False,"Kaptai, Rangamati",rangamati,747.277839688783
58,Haripur 412 MW CCPP,57.7,412,1987,1817.5804,0.527,3.01,2.5,False,False,True,False,True,False,False,False,False,False,"Haripur, Bandar, Narayanganj",narayanganj,2091.04046146961
10,Ashuganj 50 MW PP,50.9,53,1986,184.7955,0.483,2.38,2.14,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,237.455016692537
52,Haripur Power Ltd.,61,360,2001,2315.379,0.73,1.68,1.7,True,False,False,False,True,False,False,False,False,False,"haripur, narayanganj",narayanganj,1931.97581103457
62,Haripur GTPP,0,32,,-0.4225,0,,693,False,False,True,False,True,False,False,False,False,False,"Haripur, Thakurgaon",thakurgaon,
5,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),78,51,2009,353.0717,0.79,3.12,,False,False,False,True,True,False,False,False,False,False,"Fenchuganj, Sylhet",sylhet,352.407824154128
64,Bogura 20 RPP (3 Yrs) Energy Prima,0,20,2011,30.3411,0.17,3.47,,False,False,False,True,True,False,False,False,False,False,Bogra,bogra,0
94,Bheramara GT unit-3,0,20,1980,-0.1532,0,,,False,False,True,False,False,False,True,False,False,False,"Bheramara, Kushtia",kushtia,
105,Tongi 80 MW GTPP,0,105,2005,-0.2004,0,,,False,False,True,False,True,False,False,False,False,False,"Tongi,Gazipur",gazipur,0
110,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,0,108,2017,0,0,,,True,False,False,False,False,True,False,False,False,False,"Washpur, Keraniganj, Dhaka",dhaka,0
23,210 MW Shiddirganj TPP,0,210,2019,-1.287,0,,,False,False,True,False,True,False,False,False,False,False,"Shiddhirganj, Narayanganj",narayanganj,0
