,capacity_mw,net_generation_gwh,usage,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,age,2021_cost_per_unit
107,4.584967478670572,0.0,0.001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,0.0
108,4.605170185988092,3.675165851026175,0.052,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.636576829071551
109,3.9512437185814275,3.8102073105736918,0.104,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.833213344056216
110,4.68213122712422,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0
0,0.0,-0.4970870976554775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70805020110221,1.8213182714695995
1,4.553876891600541,5.668974995510738,0.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423031246069913
2,0.0,4.524857775281294,0.29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.6925980965432883
3,0.0,6.464467268328094,0.505,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,1.1878434223960523
5,4.68213122712422,6.382577318067732,0.63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,1.0715836162801904
7,4.624972813284271,5.86742029462917,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.2741856184723477
8,4.74493212836325,6.072229455470271,0.43,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.4449523342809676
9,5.3471075307174685,5.37801216755522,0.122,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,2.3988039507345884
10,4.700480365792417,5.387282916231171,0.23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.673458756332591
11,4.605170185988092,5.383880194897482,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.1077860146889784
12,3.9512437185814275,5.065788662137617,0.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,2.63834278867739
13,3.9512437185814275,4.9857146721804,0.32,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,2.513656063073986
14,3.9512437185814275,4.724562592578728,0.255,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,2.768204123921957
15,5.3471075307174685,7.047596522560698,0.63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,1.205970806988609
16,4.605170185988092,3.362709466613413,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3862943611198906,4.330864910577949
17,4.605170185988092,3.6154024367125475,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0986122886681098,4.160912273160771
18,5.393627546352362,7.277251527591779,0.781,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2178757094949273
19,4.007333185232471,5.446065163026077,0.48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,2.432735777459091
20,5.393627546352362,5.586917892092618,0.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.5653138090500605
21,4.007333185232471,5.558763253644216,0.54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.437115985951652
22,3.9889840465642745,5.6231597376870806,0.59,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.411439497906128
23,4.007333185232471,5.471835284785841,0.49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423031246069913
26,5.720311776607412,7.3518600981612225,0.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,1.4350845252893227
29,4.0943445622221,6.93102199741967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1410330045520618
32,4.653960350157523,5.91593464140883,0.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.505525936990736
33,6.025865973825314,7.987944432417211,0.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.1216775615991057
34,4.653960350157523,5.076328148734482,0.17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,2.8553201198372458
35,4.727387818712341,6.203344906143481,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.4397349311412793
36,4.727387818712341,6.14888081765646,0.47,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.457877977400081
37,4.700480365792417,4.468966654951015,0.09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,3.242592351485517
38,4.74493212836325,6.288734941826422,0.53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.516889695641051
39,4.727387818712341,6.1043705984749845,0.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.5273273656719524
42,5.003946305945459,6.674245685418749,0.61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.3580197998821464
45,5.087596335232384,5.9219091960304695,0.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.60638654732571
48,5.703782474656201,7.154812837413106,0.49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.3896797998449792
49,5.703782474656201,7.086736345880553,0.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.4300984132930052
50,0.0,4.629368042060298,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.0693912058263346
51,4.248495242049359,5.890061191554281,0.628,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1354942159291497,1.2919836816486494
52,4.6443908991413725,5.481824054130324,0.34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367295829986474,1.2837077723447896
53,5.438079308923196,6.4846211897350825,0.326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.110873864173311,1.0986122886681098
54,5.442417710521793,6.980563170683097,0.548,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0818051703517284
55,3.9512437185814275,4.448390052174729,0.191,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265,2.67552700939665
56,5.3471075307174685,5.636654292127112,0.197,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410330045520618
57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410330045520618
58,5.521460917862246,4.460034581316857,0.078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,2.419478844465545
60,5.41610040220442,6.922320785095451,0.536,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.091923300517313
62,3.4657359027997265,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.995732273553991,3.412503229031125,0.17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,1.244154593958768
