,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit
101,IPP,United Anwara 300MW PS,F.Oil,300.0,1195.9981,0.46,United - Anawara (300MW),1195998078.0,13588011751.0,11.36,1677406561.0,27943395632.0,16.0
35,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-1)",COAL,622.0,2049.4159,0.397,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991.0,32764848584.0,8.6,3998490350.0,55395607066.0,13.0
36,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-2)",,622.0,1762.5061,0.339,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991.0,32764848584.0,8.6,3998490350.0,55395607066.0,13.0
130,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power),GAS,,102.4493,0.35,MAX POWER LTD.-GHORASAL,102449279.0,811772815.0,7.92,,,
137,RENTAL & SIPP,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),GAS,51.0,353.0717,0.79,BARKATULLAH ELECTRO DYNAMICS LTD.,353071710.0,1101899564.0,3.12,,,
54,Public,Santahar 50 MW PP,F.Oil,50.0,42.8089,0.1,Shantahar 50MW Power Plant,42808887.0,923423783.0,21.57,68351477.0,1.0,19.0
53,Public,Bera 70 MW Peaking RE,F.Oil,71.0,31.2907,0.052,Bera Peacking Power Plant,31290740.0,1024671785.0,32.75,148245.0,1.0,2259.0
18,Public,"Shahjibazar 70 MW GT, Habiganj",Gas,70.0,361.4274,0.628,Shahjibazar Power Station,361427444.0,1315252227.0,3.64,416665550.0,1.0,3.0
20,Public,Fenchuganj C.C. (Unit #1),Gas,97.0,396.7305,0.662,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112.0,2302166239.0,3.61,5.0,1.0,3.0
21,Public,Fenchuganj C.C. (Unit #2),Gas,104.0,240.2846,0.34,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112.0,2302166239.0,3.61,5.0,1.0,3.0
14,Public,Karnafuli Hydro,Hydro,230.0,654.9908,0.326,Karnafuli Hydro Power Station,654990772.0,1964677501.0,3.0,743538106.0,2.0,2.0
19,Public,"Sangu, Dohazari-kaliaish 100 MW PPP",F.Oil,102.0,203.2578,0.234,Dohazari Peacking Power Plant,203257800.0,2723891885.0,13.4,131.0,2.0,19.0
11,Public,Rauzan 210 MW /ST (1st),Gas,210.0,403.4491,0.297,"Chittagong Power Station, Rawzan",403449100.0,2099326841.0,5.2,500551576.0,2.0,423.0
12,Public,Rauzan 210 MW /ST (2nd),Gas,210.0,0.0,,"Chittagong Power Station, Rawzan",403449100.0,2099326841.0,5.2,500551576.0,2.0,423.0
22,Public,Bibiana III 400 MW CCPP,Gas,400.0,1839.712,0.549,Bibiyana-3 400MW,1839712000.0,3754277784.0,2.04,2139346500.0,2.0,133.0
39,Public,Sylhet 225 MW CCPP,Gas,231.0,1075.5239,0.548,Sylhet 225 MW Peaking Power Plant,1075523895.0,3169637650.0,2.95,1.0,2.0,213.0
27,Public,Baghabari 50 MW Peaking RE,F.Oil,52.0,85.4892,0.191,Baghabari 50 Peaking Power Plant,85489209.0,1241686821.0,14.52,106132634.0,2.0,1926.0
33,Public,Saidpur 20 MW /GT,HSD,20.0,2.0647,0.013,Sayedpur Gas Turbine Power Station,2064740.0,197112122.0,95.47,1171640.0,21.0,182.0
38,Public,Sylhet 1x20 MW /GT,Gas,20.0,111.0293,0.637,Kumergoan Gt Power Sylhet,111029330.0,419366446.0,3.78,65637000.0,234431.0,3.0
24,Public,Bheramara GT unit-3,HSD,20.0,-0.1532,0.0,Bheramara Power Station,-153245.0,215299420.0,,113167.0,261.0,
0,Public, Ghorasal Repowered CCPP Unit-3,Gas,260.0,47.1487,0.023,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13,4491600.0,3.0,68129.0
1,Public, Ghorasal Repowered CCPP Unit-4,Gas,210.0,280.5226,0.197,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13,4491600.0,3.0,68129.0
2,Public, Ghorasal TPP Unit-5,Gas,210.0,963.6894,0.62,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13,4491600.0,3.0,68129.0
3,Public, Ghorasal TPP Unit-6,Gas,0.0,-2.206,,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13,4491600.0,3.0,68129.0
4,Public,Ghorasal 365 MW CCPP Unit-7,Gas,365.0,1315.1245,0.434,Ghorashal Power Station 365MW,1315124459.0,4406810035.0,3.35,4491600.0,3.0,68129.0
42,Public,Bibiyana - South  383 MW CCPP,Gas,383.0,1351.3021,0.406,Bibiyana - South,1351302135.0,2630938263.0,1.95,2522746430.0,4.0,
19,Public,Shahjibazar 330 MW CCPP,Gas,330.0,1505.2982,0.546,Shahjibazar 330 CCPP,1505298191.0,4270031976.0,2.84,1079194056.0,5.0,4.0
28,Public,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",F.Oil,104.0,259.43144,0.291,Chapainobabgonj Peaking Pp 100 MW Amnura,259431440.0,3242149031.0,12.5,251354160.0,5.0,23.0
30,Public,"Barapukuria Coal based S/T (unit 1,2)",COAL,250.0,86.4905,0.078,Barapukuria Power Station 1,86490537.0,971847293.0,11.24,1094796315.0,8.0,8.0
32,Public,Barapukuria Coal based S/T (unit 3),COAL,274.0,1098.3259,0.518,Barapukuria Power Station 2,1098325916.0,9681794240.0,8.82,1094796315.0,8.0,8.0
47,Public,Gopalganj 100 MW Peaking PP,F.Oil,109.0,4.1326,0.007,Gopalgonj Peaking Power Plant,4132618.0,904161859.0,218.79,18.0,95.0,51.0
29,Public,"Barapukuria Coal based S/T (unit 1,2)",COAL,250.0,86.4905,0.078,Barapukuria Power Station 1,86490537.0,971847293.0,11.24,248.0,42.0,13.0
31,Public,Barapukuria Coal based S/T (unit 3),COAL,274.0,1098.3259,0.518,Barapukuria Power Station 2,1098325916.0,9681794240.0,8.82,248.0,42.0,13.0
14,Public,Shikalbaha 225 MW PS,Gas,225.0,1014.6721,0.536,Shikalbaha 225 MW Shamipur (Dual Fuel),1015075276.0,3028903928.0,2.98,371948514.0,17.0,852.0
25,Public,Bhola 225 MW CCPP,Gas,194.0,315.2895,0.201,Bhola 225 MW CCPP,315289459.0,2046831372.0,6.49,633957607.0,411.0,538.0
55,Public,Katakhali 50 MW PP,F.Oil,50.0,51.4384,0.12,Katakhali 50MW Power Plant,51438387.0,981043441.0,19.07,67786253.0,1.0,1934.0
5,Public,Tongi 80 MW GTPP,Gas,105.0,-0.2004,,Tongi Power Station,-200350.0,232039734.0,,74765.0,26.0,
