,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit
110,IPP,Orion Power Sonargaon Ltd.,F.Oil,104.0,451.8127,0.5,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,451901664.0,5095211408.0,11.28
111,IPP,Anlima Chattogram 116 MW,F.Oil,116.0,125.1359,0.12,Anlima Chattogram 116 MW,Anlima Chattogram 116 MW,Anlima Energy Limited (116MW),123670544.0,1768065136.0,14.3
112,IPP,Tangail Polly Power 22 MW TPPGCl,F.Oil,22.0,74.9804,0.39,Tangail Polly Power 22 MW TPPGCl,Tangail Polly Power 22 MW TPPGCl,Tangail Palli Power Generation Ltd. (22MW),71669647.0,890544548.0,12.43
113,IPP,Bhairab Power 54.5 MW,F.Oil,54.0,70.3824,0.15,Bhairab Power 54.5 MW,Bhairab Power 54.5 MW,Bhairab Power Limited (54.50MW),70305840.0,877217319.0,12.48
114,IPP,United Payra PP Patuakhali Imp,F.Oil,150.0,33.4596,0.03,United Payra PP Patuakhali Imp,United Payra PP Patuakhali Imp,United Payra (150MW),33419172.0,1077171595.0,32.23
115,IPP,APR Energy 300MW,HSD,300.0,71.9614,0.03,APR Energy 300MW,APR Energy 300MW,APR Energy 300MW,72053121.0,6405636446.0,88.9
116,IPP,Daudkandi 200MW(Bangla Trac),HSD,200.0,40.5404,0.02,Daudkandi 200MW(Bangla Trac),Daudkandi 200MW(Bangla Trac),Bangla Track Power Company Ltd.,39585792.0,4185097685.0,105.72
117,IPP,Noapara100MW (Bangla Trac),HSD,100.0,122.2197,0.14,Noapara100MW (Bangla Trac),Noapara100MW (Bangla Trac),Bangla Track Power Company Ltd. (Unit-2),122851008.0,3855255637.0,31.38
118,IPP,"Aggreko, Aourahati 100MW",HSD,100.0,37.1663,0.04,"Aggreko, Aourahati 100MW","Aggreko, Aourahati 100MW",Aggreko Energy Solution Ltd. - Aorahati (100MW),37076045.0,2377751737.0,64.13
119,IPP,"Aggreko, Brahmangaon 100MW",HSD,100.0,28.8673,0.03,"Aggreko, Brahmangaon 100MW","Aggreko, Brahmangaon 100MW",Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),28478637.0,2164581074.0,76.01
120,IPP,Paramount Baghabari BanglaTrack,HSD,200.0,22.1198,0.01,Paramount Baghabari BanglaTrack,Paramount Baghabari BanglaTrack,Paramount BTrac Energy Ltd. - Sirajgonj,21514556.0,3887016999.0,180.67
121,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Solar,3.0,3.9442,0.15,Sharishabari 3 MW Engreen Solar Power Plant,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,3944220.0,63523756.0,16.11
122,IPP,20 MW Solar Teknaf,Solar,20.0,33.4382,0.19,20 MW Solar Teknaf,20 MW Solar Teknaf,Technaf Solartech Energy Ltd. (20MW),33438191.0,394598682.0,11.8
123,IPP,Sympa Solar Power 8 MW,Solar,8.0,11.269,0.16,Sympa Solar Power 8 MW,Sympa Solar Power 8 MW,Sympa Solar Power Limited,11268182.0,124366922.0,11.04
