,plant_name,capacity_mw,start,own_IPP,own_Joint_venture,own_Public,own_RENTAL_SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,district_code,units,usage,cost_per_unit,year,fuel_Coal
158,Daudkandi 200MW(Bangla Trac),200.0,2018.0,True,False,False,False,False,False,True,False,False,False,comilla,154.840929274064,9.0,42.33,2022,False
159,Summit   Barishal (110 MW),110.0,2016.0,True,False,False,False,False,True,False,False,False,False,barishal,59.2227725397203,6.5,36.85,2022,False
160,Noapara100MW (Bangla Trac),100.0,2018.0,True,False,False,False,False,False,True,False,False,False,jessore,102.349858404728,12.0,36.28,2022,False
161,"Aggreko, Brahmangaon 100MW",100.0,2019.0,True,False,False,False,False,False,True,False,False,False,dhaka,120.110656253314,14.0,35.24,2022,False
162,"Aggreko, Aourahati 100MW",100.0,2020.0,True,False,False,False,False,False,True,False,False,False,dhaka,128.991055177607,15.0,33.58,2022,False
163,United Payra PP Patuakhali Imp,150.0,2021.0,True,False,False,False,False,True,False,False,False,False,patuakhali,75.4448874063744,6.0,32.53,2022,False
164,Hathazari 100 MW Peaking PP,98.0,2011.0,False,False,True,False,False,True,False,False,False,False,chattogram,25.3805394113996,3.4,31.67,2022,False
165,Modhumoti 105 MW NWPGCL,105.0,2019.0,False,False,True,False,False,True,False,False,False,False,bagerhat,98.3053202807922,11.0,28.45,2022,False
166,"Power Pac Mutiara,Keranigonj,100MW",100.0,2011.0,False,False,False,True,False,True,False,False,False,False,dhaka,84.5890605561415,10.0,27.37,2022,False
167,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",104.0,2017.0,False,False,True,False,False,True,False,False,False,False,chapainawabganj,257.053441645259,28.3,23.03,2022,False
168,Powerpac Mutiara Jamalpur Power plant Ltd,95.0,,True,False,False,False,False,True,False,False,False,False,jamalpur,12.6666217435503,2.0,22.02,2022,False
169,Faridpur 50 MW Peaking PP,54.0,2011.0,False,False,True,False,False,True,False,False,False,False,faridpur,42.6929210766798,9.7,20.93,2022,False
170,Shiddirganj  Dutchbangla 100 MW,100.0,2011.0,False,False,False,True,False,True,False,False,False,False,narayanganj,164.512650874779,19.0,20.19,2022,False
