,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
80,IMPORT,,Import from Tripura (2nd  Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,60.0,,Power import (2nd HVDC),500.0
81,Public,,Sirajgonj 210 MW CC (NWPGCL) Unit-2,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),,GAS,,220.0,,Shirajgonj 6.55 MW Solar PP,6.0
82,Public,APSCL,Ashuganj 450 MW CCPP (South),APSCL (450 MW) South,Ashuganj 450 MW CCPP (South),GAS,GAS,360.0,360.0,Ashugonj 400 MW CCPP (East),400.0
83,IPP,IPP,Julda 100 MW Unit - 2 (Acorn ),Acron Infrastructure Services Ltd. Unit-2,"Julda ,CTG 100 MW PP (Unit-3)",HFO,HFO,100.0,100.0,"Julda ,CTG 100 MW PP (Unit-3)",100.0
84,IPP,IPP,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,"Rupsa, Khulna 105 MW PP",HFO,HFO,104.0,105.0,Keraniganj Power Plant,100.0
85,IPP,IPP,Juldha Acorn 100 MW Unit-3,Acron Infracture Service Ltd. (Unit-3),"Julda, Chattogram 100 MW PP (Unit-2)",HFO,HFO,100.0,100.0,Ashuganj 55 MW 3 Yrs RPP (Precision Energy),55.0
86,IPP,IPP,HF 113 MW Power Limited,HF Power Company Limited,Bogura 113 MW PP (unit-2),HFO,HFO,113.0,113.0,Khulna 330 MW CCPP (D/F),336.0
87,Public,IPP,Gazipur 100 MW PP,RPCL - Gazipur (105MW),"Rupsa, Khulna 105 MW PP",HFO,HFO,105.0,105.0,Haripur 360 MW CCPP,412.0
88,IPP,IPP,Lobonchora Orion Power Rupsha Ltd. 105 MW,Orion Power Rupsha Ltd. - Khulna (105MW),Meghnaghat 104 MW Power Plant,HFO,HFO,105.0,104.0,Bheramara 3 Years Rental PP,110.0
89,IPP,BPDB,Sembcorp NWPGCL,Sembcorp NWPC Ltd. - Sirajgonj (282MW),Shahjibazar CCPP,GAS,GAS,414.0,330.0,Shahjibazar 86 MW PP (15 Yrs RPP),86.0
90,Public,IPP,Kodda 150 MW PP,BPDB RPCL PowerGen Ltd.,Kadda 149 MW PP,HFO,HFO,149.0,149.0,"Kodda, Gazipur 300 MW PP",300.0
91,IPP,,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha Power Ltd. (105MW),,HFO,,105.0,,Bera 70 MW Peaking PP,71.0
92,IPP,,Confidence Power  Ltd. 113MW Rangpur,Confidence Power Ltd. - Rangpur,,HFO,,113.0,,Sirajganj 150 MW PP Conversion,68.0
93,IPP,,Bogura 113 MW PP (Confidence) Unit-1,Confidence Power Ltd. (Unit-1),,HFO,,113.0,,"Bosila, Keraniganj 108 MW PP",108.0
94,IPP,,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,,HFO,,110.0,,Keraniganj Power Plant,100.0
95,IPP,,United Jamalpur PPL,United Jamalpur 200MW,,HFO,,115.0,,,
96,IPP,,Confidence CPBL- 2 Bogura,Confidence Power Ltd. (Unit-2) - Bogra,,HFO,,113.0,,Sirajganj 150 MW PP Conversion,68.0
97,Public,,Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,,HSD,,230.0,,"BIFPCL, Rampal, Coal Fired Power Plant",1234.0
98,IPP,IPP,Anlima Chattogram 116 MW,Anlima Energy Limited (116MW),"Potiya, Chattogram 116 MW PP",HFO,HFO,116.0,116.0,"Potiya, Chattogram 108 MW Power Plant",108.0
99,IPP,IPP,Desh Energy Chandpur  200 MW,Desh Energy Chandpur Power Company Ltd.,Chandpur 200 MW PP,HFO,HFO,200.0,200.0,Chandpur 200 MW PP,200.0
100,IPP,,Ashugonj 150 MW (Midland East),Midland East Power Company Ltd.,,HFO,,150.0,,Ashugonj 400 MW CCPP (East),400.0
101,IPP,,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),,HFO,,149.0,,Ashuganj (South) 450 MW CCPP,373.0
102,IMPORT,,Sembcorp Energy India Ltd.,Sembcrop Energy India Ltd. 250MW,,IMPORT,,200.0,,Shahjibazar CCPP,330.0
103,IMPORT,,Power Import (Bheramara-Bharampur Phase-2),NVVN Ltd. - India 300 MW,,IMPORT,,300.0,,Sirajganj 150 MW PP Conversion,68.0
104,IPP,,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),,HFO,,162.0,,Manikganj 55 MW PP,55.0
105,IPP,,United Power Co. Ltd.200 MW Exp,United Mymensingh Power Ltd. (200MW),,GAS,,195.0,,,
106,IPP,,United Mymensing Power(UMPL) 200MW Generation,United Mymensingh Power Ltd. (200MW),,HFO,,200.0,,,
107,IPP,,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),Summit Gazipur II Power Ltd. - Kodda (300MW),,HFO,,300.0,,Summit_Madubdi_1st Phase(REB),11.0
108,IPP,,United Anwara 300MW PS,United - Anawara (300MW),,HFO,,300.0,,,
109,Joint venture,BCPCL (NWPGCL),"Payra, Potuakhali 2*660 MW PP (U-1)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",COAL,IMPORTED COAL,622.0,622.0,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",622.0
110,Joint venture,BCPCL (NWPGCL),"Payra, Potuakhali 2*660 MW PP (U-2)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",,IMPORTED COAL,622.0,622.0,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",622.0
111,RENTAL & SIPP,,Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,,GAS,,,,Barishal 110 MW PP,110.0
112,RENTAL & SIPP,Private,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,Fenchuganj 15 Years RPP (Barakatullah),GAS,GAS,51.0,51.0,Fenchuganj 15 Years RPP (Barakatullah),51.0
113,Public,,Santahar 50 MW PP,Shantahar 50MW Power Plant,,HFO,,50.0,,Santahar 50 MW  Peaking Power Plant,50.0
114,Public,BPDB,Bera 70 MW Peaking RE,Bera Peacking Power Plant,Bera 70 MW Peaking PP,HFO,HFO,71.0,71.0,Bera 70 MW Peaking PP,71.0
115,Public,Private,"Shahjibazar 70 MW GT, Habiganj",Shahjibazar Power Station,Shahjibazar 86 MW PP (15 Yrs RPP),GAS,GAS,70.0,86.0,Shahjibazar 86 MW PP (15 Yrs RPP),86.0
116,Public,Public,Fenchuganj C.C. (Unit #1),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,97.0,97.0,Fenchuganj 91 MW CCPP (1st Unit),97.0
117,Public,Public,Fenchuganj C.C. (Unit #2),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,104.0,97.0,Fenchuganj 91 MW CCPP (1st Unit),97.0
118,Public,,Karnafuli Hydro,Karnafuli Hydro Power Station,,HYDRO,,230.0,,"Keranigonj 100 MW Q.Rental PP
(Power Pack)",100.0
119,Public,BPDB,"Sangu, Dohazari-kaliaish 100 MW PPP",Dohazari Peacking Power Plant,"Sangu, Dohazari 100 MW Peaking PP",HFO,HFO,102.0,102.0,"Sangu, Dohazari 100 MW Peaking PP",102.0
120,Public,Public,Rauzan 210 MW /ST (1st),"Chittagong Power Station, Rawzan",Raojan 210 MW Unit- 2,GAS,GAS,210.0,210.0,Raujan 25 MW PP,25.0
121,Public,,Rauzan 210 MW /ST (2nd),"Chittagong Power Station, Rawzan",,GAS,,210.0,,Chattogram 2 x 612 MW Coal Fired Power Project,1224.0
122,Public,BPDB,Bibiana III 400 MW CCPP,Bibiyana-3 400MW,Bibiana #3 CCPP,GAS,GAS,400.0,400.0,Bibiyana-II 341 MW CCPP : GT Unit,222.0
123,Public,Public,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,Sylhet 20 MW PP,GAS,GAS,231.0,20.0,Sylhet 20 MW PP,20.0
124,Public,BPDB,Baghabari 50 MW Peaking RE,Baghabari 50 Peaking Power Plant,Santahar 50 MW  Peaking Power Plant,HFO,HFO,52.0,50.0,Hathazari 100 MW Peaking PP,98.0
125,Public,Public,Saidpur 20 MW /GT,Sayedpur Gas Turbine Power Station,Saidpur 20 MW PP,HSD,HSD,20.0,20.0,Saidpur 20 MW PP,20.0
126,Public,Public,Sylhet 1x20 MW /GT,Kumergoan Gt Power Sylhet,Sylhet 20 MW PP,GAS,GAS,20.0,20.0,Sylhet 20 MW PP,20.0
127,Public,Public,Bheramara GT unit-3,Bheramara Power Station,Bheramara 20 MW PP GT3,HSD,HSD,20.0,20.0,Bheramara 20 MW PP GT3,20.0
128,Public,BPDB, Ghorasal Repowered CCPP Unit-3,Ghorashal Power Station 630MW,Ghorasal 416 MW CCPP (3rd Unit Repowering) GT,GAS,GAS,260.0,260.0,Ghorasal 416 MW CCPP (3rd Unit Repowering) GT,260.0
129,Public,BPDB, Ghorasal Repowered CCPP Unit-4,Ghorashal Power Station 630MW,Ghorasal 416 MW CCPP (3rd Unit Repowering) GT,GAS,GAS,210.0,260.0,Ghorashal 365 MW CCPP,365.0
130,Public,Public, Ghorasal TPP Unit-5,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,210.0,210.0,Ghorasal 210 MW STunit4,210.0
131,Public,Public, Ghorasal TPP Unit-6,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,0.0,210.0,Ghorashal 365 MW CCPP,365.0
132,Public,BPDB,Ghorasal 365 MW CCPP Unit-7,Ghorashal Power Station 365MW,Ghorashal 365 MW CCPP,GAS,GAS,365.0,365.0,Ghorashal quick rental PP,78.0
133,Public,BPDB,Bibiyana - South  383 MW CCPP,Bibiyana - South,Bibiana South 383 MW CCPP,GAS,GAS,383.0,383.0,Bibiana South 383 MW CCPP,383.0
