,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,2022_usage,cost_increase,age,diff,log_usage_squared,log_age_squared,log_capacity_mw_squared,log_net_generation_gwh_squared,log_2021_cost_per_unit_squared,log_2022_cost_per_unit_squared,log_2022_usage_squared
45,Ashuganj 225 MW CCPP,5.3981627015177525,1987.0,Ashuganj 225 MW CCPP,7.36158550856093,-0.18874212459687742,1.1817271953786161,1.199964782928397,1579703499.0,False,False,True,False,True,False,False,False,False,False,False,-0.6282113155961425,0.06000000000000005,3.58351893845611,0.06000000000000005,-0.3774842491937548,7.16703787691222,10.796325403035505,14.72317101712186,2.3634543907572323,2.399929565856794,-1.256422631192285
48, Ashuganj TPP Unit-5,5.0106352940962555,1988.0, Ashuganj TPP Unit-5,5.371918603190146,-1.5994875815809322,1.6544112780768316,1.979621206397625,347574918.0,False,False,True,False,True,False,False,False,False,False,False,-1.2675772454015237,2.01,3.5553480614894135,2.01,-3.1989751631618644,7.110696122978827,10.021270588192511,10.743837206380292,3.3088225561536633,3.95924241279525,-2.5351544908030474
49,Modhumoti 105 MW NWPGCL,4.653960350157523,2019.0,Modhumoti 105 MW NWPGCL,2.5197749562278897,-4.199705077879927,4.851795861449505,3.34814816057234,98005392.0,False,False,True,False,False,True,False,False,False,False,False,-1.5634704923825475,-99.52,1.3862943611198906,-99.52,-8.399410155759854,2.772588722239781,9.307920700315046,5.039549912455779,9.70359172289901,6.69629632114468,-3.126940984765095
50,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,5.093750200806762,2017.0,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,6.971266553932962,-0.2876820724517809,1.095273387402595,1.1216775615991057,1038532925.0,True,False,False,False,True,False,False,False,False,False,False,-0.7081838219115675,0.07999999999999963,1.791759469228055,0.07999999999999963,-0.5753641449035618,3.58351893845611,10.187500401613525,13.942533107865923,2.19054677480519,2.2433551231982114,-1.416367643823135
51,Shiddirganj  Dutchbangla 100 MW,4.605170185988092,2011.0,Shiddirganj  Dutchbangla 100 MW,5.903623553354238,-0.8675005677047231,2.528125768907977,3.005187432324746,161026042.0,False,False,False,True,False,True,False,False,False,False,False,-1.4086550930136144,7.660000000000002,2.4849066497880004,7.660000000000002,-1.7350011354094463,4.969813299576001,9.210340371976184,11.807247106708475,5.056251537815954,6.010374864649492,-2.8173101860272287
52,Haripur Power Ltd.,5.886104031450156,2001.0,Haripur Power Ltd.,7.74732866802332,-0.31471074483970024,0.5187937934151675,0.5306282510621704,1919174000.0,True,False,False,False,True,False,False,False,False,False,False,-0.8224979220653684,0.020000000000000018,3.091042453358316,0.020000000000000018,-0.6294214896794006,6.182084906716632,11.772208062900312,15.49465733604664,1.037587586830335,1.0612565021243408,-1.6449958441307369
53,Bhairab Power 54.5 MW,3.9889840465642745,2021.0,Bhairab Power 54.5 MW,4.253943231908788,-1.8971199848858813,2.5241273629412815,2.830267833826459,198278640.0,True,False,False,False,False,True,False,False,False,False,False,-1.0505550044081247,4.469999999999999,0.6931471805599453,4.469999999999999,-3.7942399697717626,1.3862943611198906,7.977968093128549,8.507886463817576,5.048254725882563,5.660535667652918,-2.1011100088162493
54,Baraka Patenga,3.912023005428146,2014.0,Baraka Patenga,5.2929107772487365,-0.7985076962177716,2.474856313934499,2.744060638625243,232871760.0,True,False,False,False,False,True,False,False,False,False,False,-0.9161439988699049,3.67,2.1972245773362196,3.67,-1.5970153924355432,4.394449154672439,7.824046010856292,10.585821554497473,4.949712627868998,5.488121277250486,-1.8322879977398099
55,Noapara100MW (Bangla Trac),4.605170185988092,2018.0,Noapara100MW (Bangla Trac),4.805820244873673,-1.9661128563728327,3.4461707473048864,3.591266625246936,102068064.0,True,False,False,False,False,False,True,False,False,False,False,-1.5421984098429717,4.900000000000002,1.6094379124341003,4.900000000000002,-3.9322257127456655,3.2188758248682006,9.210340371976184,9.611640489747346,6.892341494609773,7.182533250493872,-3.0843968196859435
56,Julda Acorn Infra.service Ltd.100MW,4.605170185988092,2018.0,Julda Acorn Infra.service Ltd.100MW,5.246719815352762,-1.5141277326297755,2.8027541365715076,2.914522218128448,222839580.0,False,False,False,True,False,True,False,False,False,False,False,-1.2854952792745942,1.9500000000000028,1.6094379124341003,1.9500000000000028,-3.028255465259551,3.2188758248682006,9.210340371976184,10.493439630705524,5.605508273143015,5.829044436256896,-2.5709905585491883
