,plant_name,plant_name_x,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND
101,Barapukuria Coal based S/T (unit 3),Barapukuria Coal based S/T (unit 3),50.83,274,2018,1098.3259,0.518,8.82,8.13,False,False,True,False,False,False,False,False,False,False
48,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),54,300,2018,1280.2528,0.49,10.91,17.18,True,False,False,False,False,True,False,False,False,False
49,United Anwara 300MW PS,United Anwara 300MW PS,64,300,2019,1195.9981,0.46,11.36,16.66,True,False,False,False,False,True,False,False,False,False
26,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Co.Ltd.,57,305,2015,1559.0939,0.58,4.2,4.22,True,False,False,False,True,False,False,False,False,False
99,Shahjibazar 330 MW CCPP,Shahjibazar 330 MW CCPP,39.3,330,2016,1505.2982,0.546,2.84,4B4,False,False,True,False,True,False,False,False,False,False
29,Siddhirganj 335 MW CCPP,Siddhirganj 335 MW CCPP,51.1,335,2019,1042.3959,0.373,3.52,4.2,False,False,True,False,True,False,False,False,False,False
52,Haripur Power Ltd.,Haripur Power Ltd.,61,360,2001,2315.379,0.73,1.68,1.7,True,False,False,False,True,False,False,False,False,False
62,Ashuganj 450 MW CCPP (North),Ashuganj 450 MW CCPP (North),66.8,360,2017,2088.9237,0.694,2.82,2.95,False,False,True,False,True,False,False,False,False,False
64,Ashuganj 450 MW CCPP (South),Ashuganj 450 MW CCPP (South),70,360,2017,1955.573,0.646,3.87,3.76,False,False,True,False,True,False,False,False,False,False
97,Ghorasal 365 MW CCPP Unit-7,Ghorasal 365 MW CCPP Unit-7,49.9,365,2018,1315.1245,0.434,3.35,68129,False,False,True,False,True,False,False,False,False,False
98,Bibiyana - South  383 MW CCPP,Bibiyana - South  383 MW CCPP,78.8,383,2021,1351.3021,0.406,1.95,JBS,False,False,True,False,True,False,False,False,False,False
91,Bibiana III 400 MW CCPP,Bibiana III 400 MW CCPP,64.1,400,2019,1839.712,0.549,2.04,133,False,False,True,False,True,False,False,False,False,False
58,Haripur 412 MW CCPP,Haripur 412 MW CCPP,57.7,412,1987,1817.5804,0.527,3.01,2.5,False,False,True,False,True,False,False,False,False,False
33,Sembcorp NWPGCL,Sembcorp NWPGCL,78,414,2016,2945.2366,0.81,3.07,3.24,True,False,False,False,True,False,False,False,False,False
79,"Payra, Potuakhali 2*660 MW PP (U-1)","Payra, Potuakhali 2*660 MW PP (U-1)",40.5,622,2020,2049.4159,0.397,8.6,13.85,False,True,False,False,False,False,False,False,False,False
81,"Payra, Potuakhali 2*660 MW PP (U-2)","Payra, Potuakhali 2*660 MW PP (U-2)",38.3,622,2020,1762.5061,0.339,8.6,13.85,False,True,False,False,False,False,False,False,False,False
3,Shikalbaha 150 MW Peaking PP,Shikalbaha 150 MW Peaking PP,50,150,2010,641.9223,0.505,3.28,8.63,False,False,True,False,True,False,False,False,False,False
