,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
71,Public,APSCL,Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,Ashuganj 450 MW CCPP (South),GAS,GAS,360,360,Ashuganj 225 MW CCPP : SC GT Unit,142
72,IPP,IPP,Kamalaghat Banco Energy Generation,M/S Banco Energy Generation Ltd.,"Kanchan, Narayangonj 55 MW PP",HFO,HFO,54,55,,
73,IPP,,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,,GAS,,341,,,
74,IPP,,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Ltd.,,GAS,,305,,,
75,IPP,IPP,Daudkandi 200MW(Bangla Trac),Bangla Track Power Company Ltd.,DaudKandi 200 MW PP,HSD,HSD,200,200,Doudkandi 200 MW PP (Bangla Trac),200
76,Public,,Bheramara 360 MW CCPP (NWPGCL),North West Power Gen (NWPGCL)- Bheramara,,GAS,,410,,Bheramara 360 MW CCPP,278
77,IPP,IPP,ECPV Chattogram Limited 108 MW,ECPV Power Ltd.,"Bosila, Keraniganj 108 MW PP",HFO,HFO,108,108,,
78,IPP,IPP,Digital  Power & Associates Gagnagar,Digital Power & Associates Ltd.,Meghnaghat 104 MW Power Plant,HFO,HFO,102,104,,
79,IMPORT,,Import from Tripura (1st Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,100,,,
80,IMPORT,,Import from Tripura (2nd  Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,60,,,
81,Public,,Sirajgonj 210 MW CC (NWPGCL) Unit-2,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),,GAS,,220,,Sirajganj 400±10 MW CCPP,132
82,Public,APSCL,Ashuganj 450 MW CCPP (South),APSCL (450 MW) South,Ashuganj 450 MW CCPP (South),GAS,GAS,360,360,Ashuganj 195 MW Modular PP,195
83,IPP,IPP,Julda 100 MW Unit - 2 (Acorn ),Acron Infrastructure Services Ltd. Unit-2,"Julda, Chattogram 100 MW PP (Unit-2)",HFO,HFO,100,100,,
84,IPP,IPP,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,Meghnaghat 104 MW Power Plant,HFO,HFO,104,104,,
85,IPP,IPP,Juldha Acorn 100 MW Unit-3,Acron Infracture Service Ltd. (Unit-3),"Julda, Chattogram 100 MW PP (Unit-2)",HFO,HFO,100,100,,
86,IPP,IPP,HF 113 MW Power Limited,HF Power Company Limited,Thakurgao 100 MW Power Plant,HFO,HFO,113,115,,
87,Public,RPCL,Gazipur 100 MW PP,RPCL - Gazipur (105MW),Gazipur 100 MW PP,HFO,HFO,105,105,Gazipur 50 MW PP,52
88,IPP,IPP,Lobonchora Orion Power Rupsha Ltd. 105 MW,Orion Power Rupsha Ltd. - Khulna (105MW),Shikalbaha 105 MW PP,HFO,HFO,105,105,,
89,IPP,,Sembcorp NWPGCL,Sembcorp NWPC Ltd. - Sirajgonj (282MW),,GAS,,414,,,
90,Public,IPP,Kodda 150 MW PP,BPDB RPCL PowerGen Ltd.,Kadda 149 MW PP,HFO,HFO,149,149,Kadda 149 MW PP,149
91,IPP,IPP,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha Power Ltd. (105MW),Meghnaghat 104 MW Power Plant,HFO,HFO,105,104,,
92,IPP,IPP,Confidence Power  Ltd. 113MW Rangpur,Confidence Power Ltd. - Rangpur,Bogura 113 MW Power Plant (Unit-1),HFO,HFO,113,113,,
93,IPP,IPP,Bogura 113 MW PP (Confidence) Unit-1,Confidence Power Ltd. (Unit-1),Jamalpur 115 MW Power Plant,HFO,HFO,113,115,,
94,IPP,IPP,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,"Bosila, Keraniganj 108 MW PP",HFO,HFO,110,108,,
95,IPP,IPP,United Jamalpur PPL,United Jamalpur 200MW,Thakurgao 100 MW Power Plant,HFO,HFO,115,115,,
96,IPP,IPP,Confidence CPBL- 2 Bogura,Confidence Power Ltd. (Unit-2) - Bogra,Bogura 113 MW PP (unit-2),HFO,HFO,113,113,,
97,Public,,Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,,HSD,,230,,"Rupsa, Khulna 105 MW PP",105
98,IPP,IPP,Anlima Chattogram 116 MW,Anlima Energy Limited (116MW),"Potiya, Chattogram 116 MW PP",HFO,HFO,116,116,"Julda, Chattogram Power Plant",100
99,IPP,IPP,Desh Energy Chandpur  200 MW,Desh Energy Chandpur Power Company Ltd.,Mymensingh 200 MW PP,HFO,HFO,200,200,,
100,IPP,IPP,Ashugonj 150 MW (Midland East),Midland East Power Company Ltd.,Ashuganj 150 MW PP,HFO,HFO,150,150,Ashugonj 400 MW CCPP (East),400
101,IPP,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),Kadda 149 MW PP,HFO,HFO,149,149,,
102,IMPORT,,Sembcorp Energy India Ltd.,Sembcrop Energy India Ltd. 250MW,,IMPORT,,200,,,
103,IMPORT,,Power Import (Bheramara-Bharampur Phase-2),NVVN Ltd. - India 300 MW,,IMPORT,,300,,,
104,IPP,IPP,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),Manikgonj 162 MW PP,HFO,HFO,162,162,,
105,IPP,IPP,United Power Co. Ltd.200 MW Exp,United Mymensingh Power Ltd. (200MW),Ashuganj 195 MW Modular PP,GAS,GAS,195,195,,
106,IPP,IPP,United Mymensing Power(UMPL) 200MW Generation,United Mymensingh Power Ltd. (200MW),Mymensingh 200 MW PP,HFO,HFO,200,200,,
107,IPP,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),Summit Gazipur II Power Ltd. - Kodda (300MW),"Kodda, Gazipur 300 MW PP",HFO,HFO,300,300,,
108,IPP,IPP,United Anwara 300MW PS,United - Anawara (300MW),"Anowara, Chattogram 300 MW PP",HFO,HFO,300,300,,
109,Joint venture,,"Payra, Potuakhali 2*660 MW PP (U-1)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,,COAL,,622,,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",622
110,Joint venture,,"Payra, Potuakhali 2*660 MW PP (U-2)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,,,,622,,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",622
111,RENTAL & SIPP,,Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,,GAS,,,,,
112,RENTAL & SIPP,Private,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,Fenchuganj 15 Years RPP (Barakatullah),GAS,GAS,51,51,Fenchuganj 15 Years RPP (Barakatullah),51
113,Public,,Santahar 50 MW PP,Shantahar 50MW Power Plant,,HFO,,50,,Shajibazar 100 MW PP,100
114,Public,BPDB,Bera 70 MW Peaking RE,Bera Peacking Power Plant,Bera 70 MW Peaking PP,HFO,HFO,71,71,Bera 70 MW Peaking PP,71
115,Public,Public,"Shahjibazar 70 MW GT, Habiganj",Shahjibazar Power Station,Baghabari 71 MW GT,GAS,GAS,70,71,Shahjibazar CCPP,330
116,Public,Public,Fenchuganj C.C. (Unit #1),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,97,97,Fenchuganj 91 MW CCPP (1st Unit),97
117,Public,Public,Fenchuganj C.C. (Unit #2),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,104,97,Fenchuganj 90 MW CCPP,104
118,Public,,Karnafuli Hydro,Karnafuli Hydro Power Station,,HYDRO,,230,,,
119,Public,BPDB,"Sangu, Dohazari-kaliaish 100 MW PPP",Dohazari Peacking Power Plant,"Sangu, Dohazari 100 MW Peaking PP",HFO,HFO,102,102,Hathazari 100 MW Peaking PP,98
