,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
87,IPP,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,F.Oil,55,237.8964,0.49,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Doreen Southern Power Limited,237896381,2684321524,11.28,311143774,5040225092,16.2,
29,Public,Ashuganj 225 MW CCPP,Gas,221,1574.3307,0.828,Ashuganj 225 MW CCPP,Ashuganj 225 MW CCPP,APSCL (225 MW),1574330675,5139666301,3.26,1579703499,5245040830,3.32,
70,IPP,Meghnaghat Power Ltd.,GAS,450,2275.4899,0.58,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,2276324250,6238656026,2.74,2140792000,5709336569,2.67,
105,IPP,Feni Lanka Power 114 MW PP,F.Oil,114,193.2808,0.19,Feni Lanka Power 114 MW PP,Feni Lanka Power 114 MW PP,Lanka Power Limited - Feni,193243406,2993516085,15.49,329452681,5721652913,17.37,
60,IPP,Paramount Baghabari BanglaTrack,HSD,200,22.1198,0.01,,,Paramount BTrac Energy Ltd. - Sirajgonj,21514556,3887016999,180.67,104571634,5791953269,55.39,Paramount BTrac Energy Ltd.- Sirajgonj
9,Public,Siddhirganj 335 MW CCPP,Gas,335,1042.3959,0.373,,,EGCB Ltd. (360) MW,1039616357,3656399175,3.52,1419204804,5958406989,4.2,EGCB Ltd.(360)MW
31,Public,Ashuganj 450 MW CCPP (North),Gas,360,2088.9237,0.694,Ashuganj 450 MW CCPP (North),Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,2088923729,5900126978,2.82,2017615091,5960985814,2.95,
90,IPP,Kamalaghat Banco Energy Generation,F.Oil,54,309.349,0.65,Kamalaghat Banco Energy Generation,Kamalaghat Banco Energy Generation,M/S Banco Energy Generation Ltd.,309349044,3548402788,11.47,376975008,5969027473,15.83,
73,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW,GAS,341,2455.8871,0.82,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,2455887148,6030061928,2.46,2310625924,5996723144,2.6,
76,IPP,Summit Meghnaghat Power Co.Ltd.,GAS,305,1559.0939,0.58,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Ltd.,1559093909,6547648630,4.2,1524542505,6428574957,4.22,
