plant,start,fuel_type,own,capacity,end
"Adani Power, Jharkhand, India","1st Unit: July, 22 2nd Unit: December, 22",Import,Import,1496.0,
Meghnaghat 583 MW CCPP,"August, 2022",LNG,IPP,583.0,
Borisal 307 MW Coal Fired Power Plant,"October, 2022",Imported Coal,IPP,307.0,
Meghnaghat 584 MW CCPP (Unique),"November, 2022",LNG,IPP,584.0,
"Bosila, Keraniganj 108 MW PP","22 February, 2017",HFO,IPP,108.0,
Kushiara 163 MW CCPP,"25 July, 2017",Gas,IPP,109.0,
Shorishabari Solar plant,"03 August, 2017",Solar,IPP,3.0,
Ashuganj 150 MW ST3,1986-12-17 00:00:00,Gas,Public,150.0,2021-12-17
Ashuganj 150 MW ST4,1987-05-04 00:00:00,Gas,Public,150.0,2022-04-05
Ghorasal 210 MW STunit4,1989-03-18 00:00:00,Gas,Public,210.0,2022-06-30
Sylhet 20 MW PP,1986-12-13 00:00:00,Gas,Public,20.0,2022-06-30
Haripur 32 MW GT1,1987-10-31 00:00:00,Gas,Public,32.0,2022-06-30
Fenchuganj 91 MW CCPP (1st Unit),1994-12-24 00:00:00,Gas,Public,97.0,2022-06-30
"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)",2011-07-21 00:00:00,HFO,Private,100.0,2021-07-20
"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )",2012-01-13 00:00:00,HFO,Private,50.0,2022-01-12
"Bhola 80 MW Q. Rental PP (3 Years, Aggreco)",2011-05-31 00:00:00,Gas,Private,95.0,2022-03-17
"Julda, 100 MW Q.RPP
(5 Years, Acron Infra Service)",2012-03-26 00:00:00,HFO,Private,100.0,2022-03-25
"Keranigonj 100 MW Q.Rental PP
(Power Pack)",2012-03-27 00:00:00,HFO,Private,100.0,2022-03-26
Katakhali 50 MW Q. Rental PP( NPSL),2012-05-22 00:00:00,HFO,Private,50.0,2022-05-21
Ashuganj 150 MW ST5,1988-03-21 00:00:00,GAS,Public,150.0,2023-03-21
Rangpur 20 MW PP,1988-08-16 00:00:00,HSD,Public,20.0,2023-06-30
Saidpur 20 MW PP,1987-09-17 00:00:00,HSD,Public,20.0,2023-06-30
Bhola 3 Years RPP (Venture),2009-07-12 00:00:00,Gas,Private,33.0,2022-07-11
Bogura 3 Years RPP (Energy Prima),2011-11-13 00:00:00,Gas,Private,20.0,2022-11-12
Summit_Chandina_2nd Phase(REB),2006-11-15 00:00:00,Gas,Private,14.0,2022-11-14
Summit_Ashulia_2nd Phase(REB),2007-12-04 00:00:00,Gas,Private,34.0,2022-12-03
Summit_Madubdi_2nd Phase(REB),2006-12-16 00:00:00,Gas,Private,24.0,2022-12-15
Ashuganj 55 MW 3 Yrs RPP (Precision Energy),2010-04-07 00:00:00,Gas,Private,55.0,2023-04-06
Noapara 100 MW PP (Bangla Trac),2018-04-18 00:00:00,HSD,Private,100.0,2023-04-17
Doudkandi 200 MW PP (Bangla Trac),2018-04-27 00:00:00,HSD,Private,200.0,2023-04-26
Bramongao 100 MW PP (Aggreko),2018-05-30 00:00:00,HSD,Private,100.0,2023-05-29
Bogura 15 Years RPP (GBB),2008-06-17 00:00:00,Gas,Private,20.0,2023-06-16
Aorahati 100 MW PP (Aggreko),2018-06-29 00:00:00,HSD,Private,100.0,2023-06-28
Shazibar 2x35 MW PP,2000-10-25 00:00:00,Gas,Public,70.0,2023-10-25
Raozan 210 MW Unit-1,1993-03-28 00:00:00,Gas,Public,210.0,2024-06-30
Raojan 210 MW Unit- 2,1997-09-21 00:00:00,Gas,Public,210.0,2024-06-30
Baghabari 71 MW GT,1991-06-04 00:00:00,Gas,Public,71.0,2024-06-30
Pangao 300 MW PP (APR),2018-08-10 00:00:00,HSD,Private,300.0,2023-08-09
Summit_Chandina_1st Phase(REB),2003-09-01 00:00:00,Gas,Private,11.0,2023-08-31
Summit_Madubdi_1st Phase(REB),2003-09-01 00:00:00,Gas,Private,11.0,2023-08-31
Summit_Ashulia_1st Phase(REB),2003-09-01 00:00:00,Gas,Private,11.0,2023-08-31
Tangail SIPP (Doreen),2008-11-12 00:00:00,Gas,Private,22.0,2023-11-11
Haripur 360 CCPP,2001-12-01 00:00:00,Gas,Private,360.0,2023-11-30
Narsindi SIPP (REB),2008-12-21 00:00:00,Gas,Private,22.0,2023-12-20
Hobiganj  SIPP ( REB),2009-01-10 00:00:00,Gas,Private,11.0,2024-01-09
Shahjibazar 86 MW PP (15 Yrs RPP),2009-02-10 00:00:00,Gas,Private,86.0,2024-02-09
Feni SIPP (Doreen),2009-02-16 00:00:00,Gas,Private,22.0,2024-02-15
Baghabari 200 MW PP (Paramount),2019-02-16 00:00:00,HSD,Private,200.0,2024-02-15
Ullapara SIPP ( REB),2009-03-02 00:00:00,Gas,Private,11.0,2024-03-01
"Kumkargoan 50 MW PP (15 Years RPP)
( Desh Energy)",2009-03-18 00:00:00,Gas,Private,10.0,2024-03-17
Feni SIPP (REB),2009-04-25 00:00:00,Gas,Private,11.0,2024-04-24
"Mouna, Gazipur SIPP (REB)",2009-05-12 00:00:00,Gas,Private,33.0,2024-05-11
Barobkundo SIPP (Regent Power),2009-05-23 00:00:00,Gas,Private,22.0,2024-05-22
"Rupganj , Narayanganj SIPP ( REB)",2009-06-09 00:00:00,Gas,Private,33.0,2024-06-08
"Jangalia, Cumilla  SIPP (Summit)",2009-06-25 00:00:00,Gas,Private,33.0,2024-06-24
Tongi 105 MW PP,2005-03-28 00:00:00,Gas,Public,105.0,2025-03-27
Bheramara 20 MW PP GT3,1980-01-19 00:00:00,HSD,Public,20.0,2025-06-30
Fenchuganj 15 Years RPP (Barakatullah),2009-10-24 00:00:00,Gas,Private,51.0,2024-10-23
